,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
0,Lasso objective[rho=1.0],cd_solver - AA class,finance,0,0,1.1054279999999999,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
1,Lasso objective[rho=1.0],cd_solver - AA class,finance,0,1,0.8711892999999975,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
2,Lasso objective[rho=1.0],cd_solver - AA class,finance,0,2,0.9247127000000006,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
3,Lasso objective[rho=1.0],cd_solver - AA class,finance,0,4,1.2259489000000023,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
4,Lasso objective[rho=1.0],cd_solver - no AA class,finance,0,0,0.4467510999999966,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
5,Lasso objective[rho=1.0],cd_solver - no AA class,finance,0,1,1.4001056999999975,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
6,Lasso objective[rho=1.0],cd_solver - no AA class,finance,0,2,1.2272338000000005,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
7,Lasso objective[rho=1.0],cd_solver - no AA class,finance,0,4,1.256565699999996,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
8,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,0,0.3646412000000012,6.374172682168557,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
9,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,1,0.6824390000000022,1.8026349039694074,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
10,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,2,2.038248000000003,1.4399825672407336,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
11,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,3,3.478338100000002,1.3912478081556372,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
12,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,4,4.285876899999998,1.3838427040902608,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
13,Lasso objective[rho=0.1],cd_solver - AA class,finance,0,6,4.512502000000005,1.3838427040902608,,Windows,AMD64,10,10.0.19041,8,"Intel64 Family 6 Model 142 Stepping 11, GenuineIntel",8,NVIDIA GeForce MX130: cuda_11.6,"('1.21.6', 'blas=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_info, lapack=D:\\\\a\\\\1\\\\s\\\\numpy\\\\build\\\\openblas_lapack_info')",1.7.3
